NAME,SHARES,PERCENTAGE
DB NOMINEES SINGAPORE PRIVATE LIMITED,"726,548,099",38.53
FRASERS PROPERTY HOSPITALITY TRUST HOLDINGS PRIVATE LIMITED,"426,207,157",22.6
DBS NOMINEES PRIVATE LIMITED,"205,925,766",10.92
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"98,976,634",5.25
RAFFLES NOMINEES PRIVATE LIMITED,"49,419,698",2.62
FRASERS HOSPITALITY ASSET MANAGEMENT PRIVATE LIMITED,"20,054,379",1.06
DBSN SERVICES PRIVATE LIMITED,"17,064,289",0.9
MEREN PRIVATE LIMITED,"14,504,800",0.77
UOB KAY HIAN PRIVATE LIMITED,"13,060,885",0.69
FRASERS HOSPITALITY PRIVATE LIMITED,"11,668,847",0.62
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"8,228,460",0.44
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"7,621,060",0.4
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"7,246,396",0.38
OCBC SECURITIES PRIVATE LIMITED,"6,286,826",0.33
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"5,827,845",0.31
PHILLIP SECURITIES PRIVATE LIMITED,"5,427,148",0.29
RHB SECURITIES SINGAPORE PRIVATE LIMITED,"5,199,259",0.28
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"4,576,144",0.24
JACK INVESTMENT PRIVATE LIMITED,"3,539,500",0.19
LIEW CHEE KONG,"3,000,000",0.16
