NAME,SHARES,PERCENTAGE
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"232,691,800",20.01
STARHUB LIMITED,"114,315,790",9.83
MELVIN ANG WEE CHYE,"101,725,400",8.75
NOMURA SINGAPORE LIMITED,"86,876,734",7.47
DBS NOMINEES PRIVATE LIMITED,"79,672,500",6.85
MA HOLDINGS MANAGEMENT COMPANY LIMITED,"63,500,000",5.46
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"42,275,017",3.64
RAFFLES NOMINEES PRIVATE LIMITED,"38,248,303",3.29
CHOO MEILEEN,"36,672,800",3.15
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"34,880,497",3.0
RHB SECURITIES SINGAPORE PRIVATE LIMITED,"30,192,000",2.6
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"27,114,996",2.33
APEX CAPITAL GROUP PRIVATE LIMITED,"25,461,354",2.19
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"24,816,400",2.14
UOB KAY HIAN PRIVATE LIMITED,"21,653,700",1.86
PHILLIP SECURITIES PRIVATE LIMITED,"14,791,700",1.27
HL BANK NOMINEES SINGAPORE PRIVATE LIMITED,"11,200,000",0.96
HENRY QUEK PENG HOCK,"7,300,000",0.63
MAXI-HARVEST GROUP PRIVATE LIMITED,"6,276,200",0.54
HEAH TIEN HUAT,"6,200,000",0.53
