NAME,SHARES,PERCENTAGE
WELLPOINT PACIFIC HOLDINGS LIMITED,"749,157,774",43.11
OAKRIDGE INVESTMENTS PRIVATE LIMITED,"535,050,070",30.79
DBS NOMINEES PRIVATE LIMITED,"171,899,555",9.89
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"47,791,424",2.75
RAFFLES NOMINEES PRIVATE LIMITED,"39,439,760",2.27
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"38,729,605",2.23
DBSN SERVICES PRIVATE LIMITED,"32,241,906",1.86
LYNWOOD CAPITAL RESOURCES PRIVATE LIMITED,"21,622,000",1.24
OCBC SECURITIES PRIVATE LIMITED,"10,990,000",0.63
UOB KAY HIAN PRIVATE LIMITED,"9,805,600",0.56
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"9,587,500",0.55
PHILLIP SECURITIES PRIVATE LIMITED,"5,312,900",0.31
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"4,557,800",0.26
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"3,029,100",0.17
KONG GOON SIONG OR KONG GOON KHING,"2,743,000",0.16
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"2,559,000",0.15
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"2,452,888",0.14
RHB SECURITIES SINGAPORE PRIVATE LIMITED,"2,323,500",0.13
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"2,299,053",0.13
DB NOMINEES SINGAPORE PRIVATE LIMITED,"1,388,000",0.08
