NO.,NAME OF SHAREHOLDERS,,NO. OF SHARES,%
1,SINGAPORE INVESTMENTS PTE LTD,,"34,633,008",13.38
2,SELAT PTE LIMITED,,"29,478,664",11.39
3,CITIBANK NOMINEES SINGAPORE PTE LTD,,"27,718,489",10.71
4,LEE RUBBER COMPANY PTE LTD,,"21,955,968",8.48
5,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,"15,275,060",5.90
6,KALLANG DEVELOPMENT (PTE) LIMITED,,"11,875,192",4.59
7,DBS NOMINEES PTE LTD,,"8,163,375",3.15
8,GREAT EASTERN LIFE ASSURANCE CO LTD - PARTICIPATING FUND,,"6,171,184",2.38
9,LEE LATEX PTE LIMITED,,"5,271,400",2.04
10,RAFFLES NOMINEES (PTE) LTD,,"4,695,678",1.81
11,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,"3,390,700",1.31
12,HSBC (SINGAPORE) NOMINEES PTE LTD,,"3,082,246",1.19
13,LEE FOUNDATION,,"2,963,130",1.14
14,ISLAND INVESTMENT COMPANY PTE LTD,,"2,829,600",1.09
15,LEE FOUNDATION STATES OF MALAYA,,"2,711,300",1.05
16,OVERSEA-CHINESE BANK NOMINEES PTE LTD,,"1,916,076",0.74
17,YEO REALTY & INVESTMENTS (PTE) LTD,,"1,603,000",0.62
18,LEE PLANTATIONS PTE LIMITED,,"1,533,600",0.59
19,TAN PROPRIETARY (PTE) LTD,,"1,200,000",0.46
20,OCBC SECURITIES PRIVATE LTD,,"1,170,957",0.45
,TOTAL,,"187,638,627",72.47
