SIZE OF SHAREHOLDINGS,,NO. OF SHAREHOLDERS,%,NO. OF SHARES,%
1 – 99,,936,2.53,"34,737",0.00
"100 – 1,000",,"3,073",8.29,"2,244,079",0.10
"1,001 – 10,000",,"18,359",49.56,"83,999,833",3.88
"10,001 – 1,000,000",,"14,644",39.53,"324,746,030",15.00
"1,000,001 & ABOVE",,32,0.09,"1,754,457,984",81.02
TOTAL,,"37,044",100.00,"2,165,482,663",100.00
,TOP TWENTY SHAREHOLDERS,,,NO. OF SHARES,%
1,DBS NOMINEES PTE LTD,,,"557,858,966",25.76
2,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"536,024,049",24.75
3,DBSN SERVICES PTE LTD,,,"277,326,993",12.81
4,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"136,646,496",6.31
5,RAFFLES NOMINEES (PTE) LIMITED,,,"51,451,061",2.37
6,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"46,701,642",2.16
7,UNITED OVERSEAS BANK NOMINEES PTE LTD,,,"36,934,418",1.71
8,MORGAN STANLEY ASIA (S) SECURITIES PTE LTD,,,"17,998,169",0.83
9,OCBC NOMINEES SINGAPORE PTE LTD,,,"17,902,912",0.83
10,CHANGI BUS COMPANY (PRIVATE) LIMITED,,,"9,024,095",0.42
11,YIM CHEE CHONG,,,"8,115,500",0.37
12,OCBC SECURITIES PRIVATE LTD,,,"7,534,986",0.35
13,"ESTATE OF KUA HONG PAK, DECEASED",,,"7,524,530",0.35
14,DB NOMINEES (SINGAPORE) PTE LTD,,,"5,416,267",0.25
15,MERRILL LYNCH (SINGAPORE) PTE LTD,,,"5,222,761",0.24
16,SOCIETE GENERALE SPORE BRANCH,,,"3,272,601",0.15
17,CHOO CHEK SIEW,,,"3,260,000",0.15
18,PHILLIP SECURITIES PTE LTD,,,"3,150,242",0.15
19,HENG SIEW ENG,,,"2,974,200",0.14
20,DBS VICKERS SECURITIES (S) PTE LTD,,,"2,703,014",0.12
,TOTAL,,,"1,737,042,902",80.22
