NAME OF SHAREHOLDERS,,NO. OF SHARES,% OF SHARES
QUEK SIM PIN,,"5,844,896",13.79
SING INVESTMENTS & FINANCE NOMINEES (PTE.) LTD.,,"5,550,000",13.09
ALLINGHAM INVESTMENTS LIMITED,,"4,554,455",10.74
VICTOR LEVIN,,"2,682,673",6.33
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"1,984,080",4.68
S P QUEK INVESTMENTS PTE LTD,,"1,396,337",3.29
BNP PARIBAS NOMINEES SINGAPORE PTE LTD,,"1,350,540",3.19
TAN ENG CHUA EDWIN,,"908,686",2.14
CHEW HUA SENG,,"886,167",2.09
OEI SIU HOA @ SUKMAWATI WIDJAJA,,"618,570",1.46
DBS NOMINEES (PRIVATE) LIMITED,,"609,834",1.44
CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,,"528,792",1.25
JOSCA WOO KONG HWA,,"420,000",0.99
LIM & TAN SECURITIES PTE LTD,,"400,433",0.94
GOH GEOK KHIM,,"400,001",0.94
MAYBANK KIM ENG SECURITIES PTE. LTD.,,"379,689",0.90
CHUA HEE TECK,,"370,000",0.87
PHILLIP SECURITIES PTE LTD,,"305,238",0.72
OCBC SECURITIES PRIVATE LIMITED,,"294,004",0.69
LIM HOW TECK,,"284,482",0.67
,,"29,768,877",70.21
SUBSTANTIAL SHAREHOLDERS,,,
NAME OF SUBSTANTIAL SHAREHOLDERS,DIRECT INTEREST  DEEMED INTEREST,TOTAL,%
QUEK SIM PIN,,,(1)
"5,844,896","1,396,337","7,241,233",17.08
VICTOR LEVIN,,,(2)
"2,682,673","4,554,455","7,237,128",17.07
"ALLINGHAM INVESTMENTS LIMITED
 4,554,455",-,"4,554,455",10.74
CHEW HUA SENG,,,(3)
"886,167","5,617,870","6,504,037",15.34
NOTES:,,,
(1),"QUEK SIM PIN IS DEEMED INTERESTED IN 1,396,337 ACMA SHARES THROUGH HIS OWNERSHIP OF S P QUEK INVESTMENTS PTE LTD.",,
(2),"VICTOR LEVIN IS DEEMED INTERESTED IN 4,554,455 ACMA SHARES THROUGH HIS OWNERSHIP OF ALLINGHAM INVESTMENTS LIMITED.",,
"(3) 
CHEW HUA SENG IS DEEMED INTERESTED IN 5,617,870 ACMA SHARES HELD BY HIS NOMINEES.",,,
SHAREHOLDINGS HELD IN THE HANDS OF THE PUBLIC,,,
"BASED ON INFORMATION AVAILABLE TO THE COMPANY AS AT 21 MARCH 2019, 50.51% OF THE ISSUED ORDINARY SHARES OF THE",,,
COMPANY WAS HELD BY THE PUBLIC AND THEREFORE RULE 723 OF THE LISTING MANUAL'S COMPLIED WITH.,,,
126 | ACMA LTD. ANNUAL REPORT 2018,,,
