NO.,NAME OF SHAREHOLDER,,,NO. OF SHARES,%
1,GUOCOLEISURE ASSETS LIMITED,,,"924,338,134",67.57
2,UOB KAY HIAN PRIVATE LIMITED,,,"96,284,487",7.04
3,DBS NOMINEES PTE LTD,,,"52,682,389",3.85
4,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"50,186,275",3.67
5,OCBC SECURITIES PRIVATE LIMITED,,,"16,456,107",1.20
6,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"11,073,367",0.81
7,MERRILL LYNCH (SINGAPORE) PTE. LTD.,,,"11,066,151",0.81
8,RAFFLES NOMINEES (PTE) LIMITED,,,"10,651,057",0.78
9,PHILLIP SECURITIES PTE LTD,,,"8,947,281",0.65
10,HAW PAR SECURITIES (PRIVATE) LIMITED,,,"6,925,717",0.51
11,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"6,711,218",0.49
12,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"5,594,203",0.41
13,CHOO PIANG WONG,,,"5,563,000",0.41
14,LIM & TAN SECURITIES PTE LTD,,,"5,495,850",0.40
15,WATERWORTH PTE LTD,,,"5,000,000",0.36
16,HENG SIEW ENG,,,"4,884,300",0.36
17,HL BANK NOMINEES (SINGAPORE) PTE LTD,,,"3,650,000",0.27
18,HONG LEONG FINANCE NOMINEES PTE LTD,,,"3,375,300",0.24
19,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"2,462,635",0.18
20,DBSN SERVICES PTE LTD,,,"1,988,722",0.14
,TOTAL,,,"1,233,336,193",90.15
SHAREHOLDING HELD BY THE PUBLIC,,,,,
"BASED ON INFORMATION AVAILABLE TO THE COMPANY AS AT 10 SEPTEMBER 2018, APPROXIMATELY 31.61 % OF THE ISSUED SHARES OF THE",,,,,
"COMPANY IS HELD BY THE PUBLIC AND THEREFORE, RULE 723 OF THE LISTING MANUAL OF THE SINGAPORE EXCHANGE SECURITIES TRADING LIMITED",,,,,
IS COMPLIED WITH.,,,,,
118,,,,,
