NO.,NAME,,,NO. OF UNITS,%
1,DB NOMINEES (SINGAPORE) PTE LTD,,,"206,164,844",25.49
2,RAFFLES NOMINEES (PTE) LIMITED,,,"134,899,978",16.68
3,DBS NOMINEES (PRIVATE) LIMITED,,,"80,424,787",9.94
4,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"77,974,910",9.64
5,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"71,086,539",8.79
6,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"29,339,584",3.63
7,MERRILL LYNCH (SINGAPORE) PTE LTD,,,"17,392,592",2.15
8,DBSN SERVICES PTE. LTD.,,,"12,402,407",1.53
9,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"10,430,630",1.29
10,KGI SECURITIES (SINGAPORE) PTE. LTD.,,,"5,782,700",0.72
11,PHILLIP SECURITIES PTE LTD,,,"5,139,351",0.64
12,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"4,415,307",0.55
13,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"4,325,900",0.53
14,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,,"4,261,651",0.53
15,OCBC SECURITIES PRIVATE LIMITED,,,"4,023,400",0.50
16,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,"2,508,900",0.31
17,NTUC FAIRPRICE CO-OPERATIVE LTD,,,"2,200,000",0.27
18,CHUA SOK KOON,,,"2,083,100",0.26
19,LIM & TAN SECURITIES PTE LTD,,,"1,813,100",0.22
20,UOB KAY HIAN PRIVATE LIMITED,,,"1,812,000",0.22
,TOTAL,,,"678,481,680",83.89
