NO.,NAME,,NO. OF UNITS,%
1,THE ASCOTT LIMITED,,"476,152,416",21.92
2,SOMERSET CAPITAL PTE LTD,,"314,137,188",14.46
3,CITIBANK NOMINEES SINGAPORE PTE LTD,,"224,739,890",10.34
4,DBS NOMINEES (PRIVATE) LIMITED,,"193,261,696",8.90
5,ASCOTT RESIDENCE TRUST MANAGEMENT LIMITED,,"185,591,726",8.54
6,RAFFLES NOMINEES (PTE.) LIMITED,,"76,708,408",3.53
7,DBSN SERVICES PTE. LTD.,,"63,700,664",2.93
8,HSBC (SINGAPORE) NOMINEES PTE LTD,,"36,673,859",1.69
9,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"21,098,110",0.97
10,OCBC SECURITIES PRIVATE LIMITED,,"20,841,984",0.96
11,DB NOMINEES (SINGAPORE) PTE LTD,,"19,848,787",0.91
12,NTUC FAIRPRICE CO-OPERATIVE LTD,,"17,802,000",0.82
13,KO WOON HONG,,"15,669,500",0.72
14,UOB KAY HIAN PRIVATE LIMITED,,"13,208,521",0.61
15,BNP PARIBAS NOMINEES SINGAPORE PTE. LTD.,,"10,970,890",0.50
16,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,"8,559,109",0.39
17,WEE SHUK THENG,,"6,952,500",0.32
18,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,"6,770,715",0.31
19,PHILLIP SECURITIES PTE LTD,,"6,479,155",0.30
20,TOH CAPITAL PTE LTD,,"6,086,600",0.28
,TOTAL,,"1,725,253,718",79.40
