NO.,NAME,,NO. OF SHARES,%
1.,WEE INVESTMENTS (PTE) LIMITED,,"118,215,836",14.02
2.,CITIBANK NOMINEES SINGAPORE PTE LTD,,"117,483,754",13.94
3.,C. Y. WEE & COMPANY PRIVATE LIMITED,,"115,162,017",13.66
4.,DBS NOMINEES (PRIVATE) LIMITED,,"102,460,153",12.15
5.,TYE HUA NOMINEES (PTE) LTD,,"59,258,209",7.03
6.,DBSN SERVICES PTE. LTD.,,"38,682,195",4.59
7.,HAW PAR CAPITAL PTE LTD,,"38,649,505",4.58
8.,HSBC (SINGAPORE) NOMINEES PTE LTD,,"29,690,501",3.52
9.,HAW PAR INVESTMENT HOLDINGS PRIVATE LIMITED,,"28,705,436",3.40
10.,RAFFLES NOMINEES (PTE) LIMITED,,"16,283,095",1.93
11.,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,"7,432,110",0.88
12.,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"4,168,640",0.49
13.,WEE CHO YAW,,"3,661,566",0.43
14.,KAH MOTOR CO SDN BHD,,"3,477,010",0.41
15.,HO HAN LEONG CALVIN,,"2,765,000",0.33
16.,DOMITIAN INVESTMENT PTE LTD,,"2,733,449",0.32
17.,NGEE ANN DEVELOPMENT PTE LTD,,"2,154,334",0.26
18.,PICKWICK SECURITIES PRIVATE LIMITED,,"1,888,037",0.22
19.,UOB KAY HIAN PRIVATE LIMITED,,"1,772,862",0.21
20.,MAYBANK KIM ENG SECURITIES PTE LTD,,"1,765,896",0.21
,TOTAL,,"696,409,605",82.58
,"BASED ON INFORMATION AVAILABLE TO THE COMPANY AS AT 8 MARCH 2019, APPROXIMATELY 55.65% OF THE ISSUED ORDINARY SHARES",,,
,"OF THE COMPANY IS HELD BY THE PUBLIC AND THEREFORE, RULE 723 OF THE SGX-ST LISTING MANUAL IS COMPLIED WITH.",,,
216,,,,
