SIZE OF SHAREHOLDINGS,,NO. OF SHAREHOLDERS,%,NO. OF SHARES,%
1 – 99,,109,1.79,"3,523",0.00
"100 – 1,000",,815,13.36,"656,646",0.02
"1,001 – 10,000",,"3,999",65.54,"19,004,848",0.60
"10,001 – 1,000,000",,"1,158",18.98,"47,048,411",1.48
"1,000,001 AND ABOVE",,20,0.33,"3,115,715,906",97.90
TOTAL,,"6,101",100.00,"3,182,429,334",100.00
TWENTY LARGEST SHAREHOLDERS,,,,,
NO.,NAME,,,NO. OF SHARES,%
1,BREEDENS INVESTMENTS PTE. LTD.,,,"1,394,271,494",43.81
2,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"575,887,045",18.10
3,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"359,330,948",11.30
4,ARANDA INVESTMENTS PTE. LTD.,,,"312,814,360",9.83
5,KEWALRAM SINGAPORE LIMITED,,,"223,769,921",7.03
6,DBS NOMINEES (PRIVATE) LIMITED,,,"84,939,832",2.67
7,RAFFLES NOMINEES (PTE.) LIMITED,,,"66,003,938",2.07
8,DAIWA CAPITAL MARKETS SINGAPORE LIMITED,,,"50,000,000",1.57
9,UOB KAY HIAN PRIVATE LIMITED,,,"10,935,309",0.34
10,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"9,470,598",0.30
11,DBSN SERVICES PTE. LTD.,,,"4,781,056",0.15
12,OCBC SECURITIES PRIVATE LIMITED,,,"4,232,583",0.13
13,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"4,112,517",0.13
14,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"3,496,611",0.11
15,MAK SENG FOOK,,,"3,028,296",0.10
16,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"2,675,739",0.08
17,MERRILL LYNCH (SINGAPORE) PTE. LTD.,,,"2,015,336",0.06
18,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,"1,897,503",0.06
19,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"1,052,424",0.03
20,THOMAS GREGERSEN,,,"1,000,396",0.03
TOTAL,,,,"3,115,715,906",97.90
PUBLIC FLOAT,,,,,
,"APPROXIMATELY 10.24% OF THE COMPANY’S SHARES ARE HELD IN THE HANDS OF THE PUBLIC. ACCORDINGLY, THE COMPANY HAS COMPLIED WITH",,,,
RULE 723 OF THE LISTING MANUAL OF THE SGX-ST.,,,,,
