NAME OF SHAREHOLDERS,,,NO. OF SHARES,%
RAFFLES NOMINEES (PTE) LIMITED,,,"3,132,819,235",24.60
DBS NOMINEES PTE LTD,,,"2,163,446,636",16.99
UOB KAY HIAN PTE LTD,,,"1,358,248,591",10.67
HSBC (SINGAPORE) NOMINEES PTE LTD,,,"1,236,785,541",9.71
MASSINGHAM INTERNATIONAL LTD,,,"1,077,047,817",8.46
CITIBANK NOMINEES SINGAPORE PTE LTD,,,"997,598,424",7.83
DBSN SERVICES PTE LTD,,,"484,600,852",3.80
GOLDEN MOMENT LIMITED,,,"475,000,000",3.73
FLAMBO INTERNATIONAL LIMITED,,,"260,000,000",2.04
BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"36,004,190",0.28
UNITED OVERSEAS BANK NOMINEES PTE LTD,,,"32,003,235",0.25
OCBC SECURITIES PRIVATE LTD,,,"25,890,773",0.20
PHILLIP SECURITIES PTE LTD,,,"25,314,033",0.20
DBS VICKERS SECURITIES (S) PTE LTD,,,"23,635,877",0.19
BNP PARIBAS NOMINEES SINGAPORE PTE LTD,,,"16,483,956",0.13
MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"16,195,073",0.13
CGS-CIMB SECURITIES (SINGAPORE) PTE LTD,,,"15,587,283",0.12
SOCIETE GENERALE SPORE BRANCH,,,"14,945,710",0.12
RHB SECURITIES SINGAPORE PTE LTD,,,"13,666,065",0.11
MERRILL LYNCH (SINGAPORE) PTE LTD,,,"13,628,415",0.11
TOTAL,,,"11,418,901,706",89.67
