NO.,NAME,NO. OF SHARES HELD,%*
1,TEMASEK HOLDINGS (PRIVATE) LIMITED,"1,554,764,574",49.83
2,CITIBANK NOMINEES SINGAPORE PTE LTD,"393,038,068",12.60
3,DBS NOMINEES (PRIVATE) LIMITED,"337,528,171",10.82
4,DBSN SERVICES PTE. LTD.,"178,481,389",5.72
5,HSBC (SINGAPORE) NOMINEES PTE LTD,"118,821,931",3.81
6,RAFFLES NOMINEES (PTE.) LIMITED,"40,450,340",1.29
7,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"37,365,831",1.20
8,VESTAL	INVESTMENTS	PTE.	LTD.,"28,501,000",0.91
9,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"13,045,258",0.42
10,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,"9,643,965",0.31
11,DB NOMINEES (SINGAPORE) PTE LTD,"8,396,727",0.27
12,DBS	VICKERS	SECURITIES	(SINGAPORE)	PTE	LTD,"7,865,142",0.25
13,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"7,441,025",0.24
14,MERRILL LYNCH (SINGAPORE) PTE. LTD.,"5,831,694",0.19
15,PHILLIP SECURITIES PTE LTD,"3,823,876",0.12
16,TAN PHENG HOCK,"3,315,785",0.11
17,OCBC SECURITIES PRIVATE LIMITED,"3,212,646",0.10
18,UOB KAY HIAN PRIVATE LIMITED,"2,437,494",0.08
19,NTUC FAIRPRICE CO-OPERATIVE LTD,"2,240,000",0.07
20,HENG SIEW ENG,"2,112,000",0.07
,,"2,758,316,916",88.41
