NO.,NAME,,,NO. OF UNITS,%
1,FRASERS PROPERTY INDUSTRIAL TRUST HOLDINGS PTE LTD,,,"419,072,356",20.72
2,DBS NOMINEES (PRIVATE) LIMITED,,,"408,858,057",20.22
3,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"272,295,654",13.47
4,DBSN SERVICES PTE. LTD.,,,"228,887,478",11.32
5,DB NOMINEES (SINGAPORE) PTE LTD,,,"153,573,349",7.59
6,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"99,141,224",4.90
7,RAFFLES NOMINEES (PTE) LIMITED,,,"81,264,360",4.02
8,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"19,214,310",0.95
9,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"18,441,754",0.91
10,NTUC FAIRPRICE CO-OPERATIVE LTD,,,"11,079,000",0.55
11,MEREN PTE LTD,,,"11,000,000",0.54
12,UOB KAY HIAN PRIVATE LIMITED,,,"8,876,870",0.44
13,OCBC SECURITIES PRIVATE LIMITED,,,"7,732,739",0.38
14,KGI SECURITIES (SINGAPORE) PTE. LTD.,,,"6,968,063",0.34
15,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"6,879,025",0.34
16,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"5,902,170",0.29
17,FRASERS LOGISTICS & INDUSTRIAL ASSET MANAGEMENT PTE LTD,,,"5,763,623",0.29
18,PHILLIP SECURITIES PTE LTD,,,"5,745,594",0.28
19,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,"4,991,541",0.25
20,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"3,633,816",0.18
,TOTAL,,,"1,779,320,983",87.98
DISTRIBUTION OF UNITHOLDINGS,,,,,
,,NO. OF,,,
SIZE OF UNITHOLDINGS,,UNITHOLDERS,%,NO. OF UNITS,%
1  -  99,,5,0.04,54,0.00
"100  -  1,000",,"1,106",7.61,"1,030,668",0.05
"1,001  -  10,000",,"7,957",54.75,"39,369,424",1.95
"10,001 - 1,000,000",,"5,434",37.39,"183,589,063",9.08
"1,000,001 AND ABOVE",,31,0.21,"1,798,136,270",88.92
TOTAL,,"14,533",100.00,"2,022,125,479",100.00
,,,,,ANNUAL REPORT 2018  |  233
