NO.,NAME OF SHAREHOLDERS,,,,NO. OF SHARES,%
1.,WELLPOINT PACIFIC HOLDINGS LTD.,,,,"749,157,774",43.11
2.,OAKRIDGE INVESTMENTS PTE LTD.,,,,"535,050,070",30.79
3.,DBS NOMINEES PTE LTD.,,,,"171,899,555",9.89
4.,HSBC (SINGAPORE) NOMINEES PTE LTD.,,,,"47,791,424",2.75
5.,RAFFLES NOMINEES (PTE) LIMITED,,,,"39,439,760",2.27
6.,CITIBANK NOMINEES SINGAPORE PTE LTD.,,,,"38,729,605",2.23
7.,DBSN SERVICES PTE LTD.,,,,"32,241,906",1.86
8.,LYNWOOD CAPITAL RESOURCES PTE LTD.,,,,"21,622,000",1.24
9.,OCBC SECURITIES PRIVATE LTD.,,,,"10,990,000",0.63
10.,UOB KAY HIAN PTE LTD.,,,,"9,805,600",0.56
11.,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,,"9,587,500",0.55
12.,PHILLIP SECURITIES PTE LTD.,,,,"5,312,900",0.31
13.,DBS VICKERS SECURITIES (S) PTE LTD.,,,,"4,557,800",0.26
14.,MORGAN STANLEY ASIA (S) SECURITIES PTE LTD.,,,,"3,029,100",0.17
15.,KONG GOON SIONG OR KONG GOON KHING,,,,"2,743,000",0.16
16.,BNP PARIBAS NOMINEES SINGAPORE PTE LTD.,,,,"2,559,000",0.15
17.,CGS-CIMB SECURITIES (SINGAPORE) PTE LTD.,,,,"2,452,888",0.14
18.,RHB SECURITIES SINGAPORE PTE LTD.,,,,"2,323,500",0.13
19.,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,,"2,299,053",0.13
20.,DB NOMINEES (SINGAPORE) PTE LTD.,,,,"1,388,000",0.08
,TOTAL,,,,"1,692,980,435","%
 %
97.41"
