NO.,NAME,,,NO. OF SHARES,%2
1,SEL HOLDINGS PTE LTD 3,,,"249,991,184",23.36
2,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"212,021,503",19.81
3,DBS NOMINEES (PRIVATE) LIMITED,,,"126,597,464",11.83
4,DBSN SERVICES PTE. LTD.,,,"71,337,046",6.67
5,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"61,779,207",5.77
6,RAFFLES NOMINEES (PTE) LIMITED,,,"17,554,032",1.64
7,PHILLIP SECURITIES PTE LTD,,,"14,113,307",1.32
8,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"9,712,616",0.91
9,DB NOMINEES (SINGAPORE) PTE LTD,,,"8,474,652",0.79
10,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"8,054,355",0.75
11,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,"3,915,211",0.37
12,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,,"3,635,989",0.34
13,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,,"3,517,958",0.33
14,OCBC SECURITIES PRIVATE LIMITED,,,"3,373,343",0.32
15,UOB KAY HIAN PRIVATE LIMITED,,,"3,082,400",0.29
16,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"2,785,900",0.26
17,MAYBANK KIM ENG SECURITIES PTE. LTD.,,,"2,216,347",0.21
18,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,,,"2,114,133",0.20
19,WAN FOOK WENG,,,"2,000,000",0.19
20,MERRILL LYNCH (SINGAPORE) PTE LTD,,,"1,821,096",0.17
,TOTAL,,,"808,097,743",75.53
TREASURY SHARES AND SUBSIDIARY HOLDINGS,,,,,
"NUMBER OF TREASURY SHARES: 1,535,769",,,,,
NUMBER OF SUBSIDIARY HOLDINGS: NIL,,,,,
,PERCENTAGE OF TREASURY SHARES AGAINST THE TOTAL NUMBER OF ISSUED ORDINARY SHARES: 0.14%,,,,
,PERCENTAGE OF SUBSIDIARY HOLDINGS AGAINST THE TOTAL NUMBER OF ISSUED ORDINARY SHARES: 0%,,,,
SUBSTANTIAL SHAREHOLDERS,,,,,
,"ACCORDING TO THE REGISTER OF SUBSTANTIAL SHAREHOLDERS MAINTAINED BY THE COMPANY, THE COMPANY HAD NO SUBSTANTIAL SHAREHOLDERS",,,,
AS AT 1 AUGUST 2018.,,,,,
1,"“SUBSIDIARY HOLDINGS” IS DEFINED IN THE LISTING MANUAL TO MEAN SHARES REFERRED TO IN SECTIONS 21(4), 21(4B), 21(6A) AND 21(6C) OF THE COMPANIES ACT, CHAPTER 50.",,,,
