NO.,NAME,,NO. OF SHARES,%
1,GUOCOLAND ASSETS PTE. LTD.,,"772,032,426",65.24
2,HL BANK NOMINEES (S) PTE LTD,,"80,533,487",6.81
3,CITIBANK NOMINEES S’PORE PTE LTD,,"43,802,478",3.70
4,RAFFLES NOMINEES (PTE) LTD,,"41,061,679",3.47
5,KWEK LENG HAI,,"35,290,914",2.98
6,CITIGROUP GM SINGAPORE SECURITIES PTE LTD,,"26,683,000",2.25
7,CGS-CIMB SECURITIES (S’PORE) PTE LTD,,"23,606,732",1.99
8,KGI SECURITIES (SINGAPORE) PTE LTD,,"19,624,790",1.66
9,DBS NOMINEES PTE LTD,,"18,823,115",1.59
10,HSBC (SINGAPORE) NOMINEES PTE LTD,,"16,369,065",1.38
11,DB NOMINEES (S) PTE LTD,,"8,917,874",0.75
12,UOB KAY HIAN PTE LTD,,"5,853,064",0.49
13,LIM & TAN SECURITIES PTE LTD,,"4,690,533",0.40
14,DBS VICKERS SECURITIES (S) PTE LTD,,"4,637,666",0.39
15,MAYBANK KIM ENG SECURITIES PTE LTD,,"3,729,069",0.32
16,UNITED OVERSEAS BANK NOMINEES PTE LTD,,"3,281,066",0.28
17,DBSN SERVICES PTE LTD,,"2,069,485",0.17
18,LEE YUEN SHIH,,"1,779,000",0.15
19,TAN KAH BOH ROBERT@ TAN KAH BOO,,"1,550,000",0.13
20,OCBC NOMINEES SINGAPORE PTE LTD,,"1,508,675",0.13
,TOTAL,,"1,115,844,118",94.28
