NO.,NAME,SHARES,%
1,S.K. TIONG ENTERPRISE SDN. BHD.,"1,148,685,680",16.08
2,DBS NOMINEES (PRIVATE) LIMITED,"1,116,094,607",15.62
3,HUNG YUNG ENTERPRISE SDN BHD,"639,909,690",8.96
4,RHB BANK NOMINEES PTE LTD,"569,666,574",7.97
5,TIONG SU KOUK,"343,968,263",4.81
6,CITIBANK NOMINEES SINGAPORE PTE LTD,"335,791,176",4.70
7,KGI SECURITIES (SINGAPORE) PTE. LTD.,"191,119,963",2.68
8,RAFFLES NOMINEES (PTE.) LIMITED,"185,364,165",2.59
9,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"172,163,712",2.41
10,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,"171,943,079",2.41
11,UOB KAY HIAN PRIVATE LIMITED,"170,673,660",2.39
12,RHB SECURITIES SINGAPORE PTE. LTD.,"146,356,140",2.05
13,OCBC SECURITIES PRIVATE LIMITED,"91,240,048",1.28
14,LAU LIONG KII,"91,185,884",1.28
15,HSBC (SINGAPORE) NOMINEES PTE LTD,"80,706,326",1.13
16,OVERSEA-CHINESE BANK NOMINEES PRIVATE LIMITED,"78,900,000",1.10
17,CHONG THIM PHENG,"75,000,000",1.05
18,BANK OF CHINA NOMINEES PTE LTD,"61,084,195",0.86
19,PHILLIP SECURITIES PTE LTD,"60,172,727",0.84
20,UOBM NOMINEES (TEMPATAN) SDN BHD,"57,654,847",0.81
,TOTAL,"5,787,680,736",81.02
