NO.,NAME,SHARES,%
1,HKSCC NOMINEES LIMITED,"983,991,228",37.75
2,TRIUMPH POWER LIMITED,"709,589,551",27.22
3,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,"268,822,300",10.31
4,CHINA ENERGY CONSERVATION & ENVIRONMENTAL,"223,712,917",8.58
,"PROTECTION (HONG KONG) INVESTMENT CO.,",,
,LIMITED,,
5,"S I
INFRASTRUCTURE HOLDINGS LIMITED","165,418,475",6.35
6,CITIBANK NOMINEES SINGAPORE PTE LTD,"95,312,754",3.66
7,DBSN SERVICES PTE. LTD.,"26,132,322",1.00
8,DBS NOMINEES (PRIVATE) LIMITED,"21,823,666",0.84
9,RAFFLES NOMINEES (PTE.) LIMITED,"19,926,908",0.76
10,HSBC (SINGAPORE) NOMINEES PTE LTD,"17,720,231",0.68
11,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,"16,057,943",0.62
12,MERRILL LYNCH (SINGAPORE) PTE. LTD.,"6,620,747",0.25
13,MAYBANK KIM ENG SECURITIES PTE. LTD.,"4,091,732",0.16
14,ABN AMRO CLEARING BANK N.V,"3,970,363",0.15
15,PHILLIP SECURITIES PTE LTD,"3,138,704",0.12
16,HUANG HANGUANG,"2,500,376",0.10
17,UNITED OVERSEAS BANK NOMINEES (PRIVATE),"1,274,950",0.05
,LIMITED,,
18,BPSS NOMINEES SINGAPORE (PTE.) LTD.,"1,206,534",0.05
19,OCBC SECURITIES PRIVATE LIMITED,"1,205,160",0.05
20,BAO YIDONG,"1,080,560",0.04
,TOTAL,"2,573,597,421",98.74
