NO.,NAME,,,NO. OF UNITS,%
1,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"584,475,594",19.10
2,DBS NOMINEES (PRIVATE) LIMITED,,,"418,158,995",13.67
3,MULBERRY PTE. LTD.,,,"386,588,072",12.63
4,MERANTI INVESTMENTS PTE. LTD.,,,"350,303,184",11.45
5,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"209,329,060",6.84
6,MAPLETREE LOGISTICS PROPERTIES PTE. LTD.,,,"170,401,077",5.57
7,MANGROVE PTE. LTD.,,,"170,398,998",5.57
8,RAFFLES NOMINEES (PTE.) LIMITED,,,"130,102,651",4.25
9,DBSN SERVICES PTE. LTD.,,,"120,794,989",3.95
10,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"48,508,889",1.59
11,DB NOMINEES (SINGAPORE) PTE LTD,,,"17,345,955",0.57
12 MAPLETREE LOGISTICS TRUST MANAGEMENT LTD.,,,,"14,070,883",0.46
13,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"13,171,295",0.43
14,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,,,"7,581,957",0.25
15,ABN AMRO CLEARING BANK N.V.,,,"6,889,910",0.23
16 MAYBANK KIM ENG SECURITIES PTE. LTD.,,,,"6,724,018",0.22
17,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"6,668,032",0.22
18 OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,,"6,413,724",0.21
19,UOB KAY HIAN PRIVATE LIMITED,,,"5,116,045",0.17
20,PHILLIP SECURITIES PTE LTD,,,"4,651,733",0.15
TOTAL,,,,"2,677,695,061",87.53
