NO.,NAME,,NO. OF UNITS,%
1.,OCBC SECURITIES PRIVATE LIMITED,,"171,621,660",21.72
2.,UOB KAY HIAN PRIVATE LIMITED,,"86,410,981",10.93
3.,CITIBANK NOMINEES SINGAPORE PTE LTD,,"73,692,228",9.32
4.,DBS NOMINEES (PRIVATE) LIMITED,,"65,414,841",8.28
5.,BOWSPRIT CAPITAL CORPORATION LIMITED,,"54,680,489",6.92
6.,DB NOMINEES (SINGAPORE) PTE LTD,,"28,491,525",3.61
7.,HSBC (SINGAPORE) NOMINEES PTE LTD,,"18,754,519",2.37
8.,RAFFLES NOMINEES (PTE.) LIMITED,,"17,019,986",2.15
9.,DBSN SERVICES PTE. LTD.,,"14,872,606",1.88
10.,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,"10,029,351",1.27
11.,CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD.,,"6,694,739",0.85
12.,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,"6,502,228",0.82
13.,PHILLIP SECURITIES PTE LTD,,"6,088,027",0.77
14.,MAYBANK KIM ENG SECURITIES PTE. LTD.,,"5,214,324",0.66
15.,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,"4,716,149",0.60
16.,BMT AC ESTATE OF MSE ANGULLIA DECEASED WAKAFF CLAUSE 7 TRUST,,"2,659,652",0.34
17.,ABN AMRO CLEARING BANK N.V.,,"2,506,472",0.32
18.,TEH KIU CHEONG @TEONG CHENG @ CHENG CHIU CHANG,,"2,317,683",0.29
19.,MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD,,"2,228,528",0.28
20.,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,"2,187,831",0.28
,TOTAL,,"582,103,819",73.66
